,company,imei,name,ssn,registration,username,user_id,mail,birthdate
0,Beck-Wright,863033069630348784,Gregory Santiago,493-70-5760,2023-05-04,zacharyclayton,474,xraymond@hotmail.com,1967-09-17 09:20:20.600858368
1,"Phillips, Dixon and Garrett",3590433799317661115,Tom Fisher,598-97-2312,2020-05-09,dustin49,1307,kevin90@hotmail.com,1967-09-17 09:20:20.600858368
2,Manning LLC,863033069630348826,Howard Garcia,383-26-6902,2021-08-21,davidstone,2255,holmestommy@yahoo.com,1967-09-17 09:20:20.600858368
3,"Duarte, Campbell and Escobar",863033069630348263,Andrew Montoya,556-81-7215,2023-03-12,juliehayes,1319,john38@gmail.com,1967-09-17 09:20:20.600858368
4,Mcclure-Lutz,863033069630348131,Kelly Holder,213-99-5419,2019-11-10,donna35,1883,rebecca75@gmail.com,1967-09-17 09:20:20.600858368
5,"Allen, Booker and Wallace",3590433799317661339,Jessica Rodriguez,065-46-9712,2022-11-25,elliottashley,967,lisakelley@hotmail.com,1967-09-17 09:20:20.600858368
6,"Edwards, Deleon and Crawford",863033069630348644,Deborah Williams,355-60-6957,2023-03-19,marshallkatie,1627,robertsondanielle@hotmail.com,1986-07-10 00:00:00.000000000
7,"Lloyd, Rodriguez and Walton",3590433799317661859,Jamie Salinas,592-73-0969,2018-08-24,tyler37,2139,smithmatthew@hotmail.com,1967-09-17 09:20:20.600858368
8,Bean-Smith,863033069630348255,Brittany Johnson,632-57-5673,2024-08-23,jasonchen,777,rodney93@gmail.com,1961-09-01 00:00:00.000000000
9,Sanchez LLC,3590433799317662386,Kelly Lee,207-50-7584,2018-03-16,michaelyoder,1574,elizabeth38@yahoo.com,1967-09-17 09:20:20.600858368
10,Thompson PLC,359043379931766916,Kimberly Suarez,705-70-1487,2018-05-07,luis61,2521,hjones@yahoo.com,2020-01-27 00:00:00.000000000
11,Webster-Thomas,3590433799317661495,Taylor Moore,229-82-1652,2020-05-07,zacharychavez,1353,richardsonstephanie@hotmail.com,1967-09-17 09:20:20.600858368
12,Matthews-Lucero,3590433799317662311,Lisa Flores,534-22-8007,2022-10-22,regina19,1281,mmoreno@yahoo.com,1967-09-17 09:20:20.600858368
